192.168.0.239,192.168.0.255,137,137,UDP,0:00:02.969663,390,0,100
20.189.173.10,192.168.0.217,137 443,137 39892,UDP TCP,0:00:00,80,0,40
192.168.0.196,192.168.0.255,137 55789 443,39892 55791 55792 55790 55797 55795 137 55796 55793 55798 55789 55794,UDP TCP,0:00:01.945674,2109,0,380
192.168.0.217,172.217.169.238,137 55789 43094 443,39892 443 55791 55792 55790 55797 43094 55795 137 55796 55793 55798 55789 55794,UDP TCP,0:00:00.868447,1597,2403,200
